# Matter power spectrum P(k) at redshift z=0
# for k=1.05238e-05 to 5.17653 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.032731446926e-02       1.203833434475e+04 
       5.074798944961e-02       1.195571052002e+04 
       5.118611783585e-02       1.187216889947e+04 
       5.164341123889e-02       1.178790601244e+04 
       5.212182447245e-02       1.170239616730e+04 
       5.262360054877e-02       1.161587827674e+04 
       5.315132571642e-02       1.152869774460e+04 
       5.370799705738e-02       1.143936051599e+04 
       5.429710579631e-02       1.134857469228e+04 
       5.492274022347e-02       1.125585827067e+04 
       5.558971295252e-02       1.116076655754e+04 
       5.630371800212e-02       1.106324422902e+04 
       5.707152360288e-02       1.096278210620e+04 
       5.790120603911e-02       1.085844484443e+04 
       5.880242691195e-02       1.074948505189e+04 
       5.978674839796e-02       1.063466829412e+04 
       6.086796371989e-02       1.051289935855e+04 
       6.206238536835e-02       1.038200555787e+04 
       6.338897057339e-02       1.023877401900e+04 
       6.486906197977e-02       1.007927576823e+04 
       6.652538909851e-02       9.899356898644e+03 
       6.837988057848e-02       9.691868679391e+03 
       7.044996833034e-02       9.448992802004e+03 
       7.274371899591e-02       9.164208384998e+03 
       7.525537834462e-02       8.831090839599e+03 
       7.796393758100e-02       8.448976780903e+03 
       8.083650457383e-02       8.023277524961e+03 
       8.383531884847e-02       7.566824329532e+03 
       8.692486054767e-02       7.096442993911e+03 
       9.007615485417e-02       6.632071729835e+03 
       9.326784614181e-02       6.191389913282e+03 
       9.648525514023e-02       5.788427186207e+03 
       9.971874783581e-02       5.432989461397e+03 
       1.029621868710e-01       5.129711717202e+03 
       1.062117350258e-01       4.878500723217e+03 
       1.094650208631e-01       4.675447847334e+03 
       1.127205891596e-01       4.513942979597e+03 
       1.159775507034e-01       4.385260471065e+03 
       1.192353634713e-01       4.279556622935e+03 
       1.224936974918e-01       4.186758048920e+03 
       1.257523519784e-01       4.097563560712e+03 
       1.290112047288e-01       4.004033160508e+03 
       1.322701813070e-01       3.900134298920e+03 
       1.355292363013e-01       3.782620230379e+03 
       1.387883419373e-01       3.650747998368e+03 
       1.420474811616e-01       3.505973343125e+03 
       1.453066434429e-01       3.352430281593e+03 
       1.485658222222e-01       3.194519221121e+03 
       1.518250133641e-01       3.037255324284e+03 
       1.550842142163e-01       2.886016752340e+03 
       1.583434230375e-01       2.745137872562e+03 
       1.616026386492e-01       2.617695723381e+03 
       1.648618602237e-01       2.505840327015e+03 
       1.681210871548e-01       2.410114473192e+03 
       1.713803189780e-01       2.329967542739e+03 
       1.746395553220e-01       2.263907412758e+03 
       1.778987958783e-01       2.209552369771e+03 
       1.811580403825e-01       2.163858587387e+03 
       1.844172886020e-01       2.124285406766e+03 
       1.876765403287e-01       2.087678493797e+03 
       1.909357953735e-01       2.050961342175e+03 
       1.941950535631e-01       2.011831251818e+03 
       1.974543147376e-01       1.968312102644e+03 
       2.007135787487e-01       1.919987813645e+03 
       2.039728454582e-01       1.866609830502e+03 
       2.072321147372e-01       1.809162299257e+03 
       2.104913864650e-01       1.748968295782e+03 
       2.137506605285e-01       1.687582526705e+03 
       2.170099368215e-01       1.626553098532e+03 
       2.202692152443e-01       1.567572510946e+03 
       2.235284957029e-01       1.511838123464e+03 
       2.267877781089e-01       1.460425014210e+03 
       2.300470623789e-01       1.413973707267e+03 
       2.333063484343e-01       1.372797297640e+03 
       2.365656362008e-01       1.336861276451e+03 
       2.398249256081e-01       1.305655453446e+03 
       2.430842165898e-01       1.278552859197e+03 
       2.463435090829e-01       1.254614765916e+03 
       2.496028030280e-01       1.232827662404e+03 
       2.528620983684e-01       1.212117222652e+03 
       2.561213950506e-01       1.191620025745e+03 
       2.593806930237e-01       1.170673593858e+03 
       2.626399922393e-01       1.148678432749e+03 
       2.658992926514e-01       1.125350118158e+03 
       2.691585942164e-01       1.100613901910e+03 
       2.724178968926e-01       1.074562277251e+03 
       2.756772006404e-01       1.047493108651e+03 
       2.789365054219e-01       1.019906220292e+03 
       2.821958112012e-01       9.923640244405e+02 
       2.854551179438e-01       9.653622621353e+02 
       2.887144256170e-01       9.394356556495e+02 
       2.919737341895e-01       9.150009780628e+02 
       2.952330436312e-01       8.922871091568e+02 
       2.984923539136e-01       8.714465258971e+02 
       3.017516650093e-01       8.523951910799e+02 
       3.050109768921e-01       8.350746007622e+02 
       3.082702895368e-01       8.192614151806e+02 
       3.115296029194e-01       8.047318189251e+02 
       3.147889170169e-01       7.911630228986e+02 
       3.180482318072e-01       7.782327902993e+02 
       3.213075472692e-01       7.656127558299e+02 
       3.245668633824e-01       7.530149009702e+02 
       3.278261801273e-01       7.402272540192e+02 
       3.310854974853e-01       7.271596618294e+02 
       3.343448154382e-01       7.137666433532e+02 
       3.376041339688e-01       7.000141867894e+02 
       3.408634530605e-01       6.860440454218e+02 
       3.441227726971e-01       6.719679596289e+02 
       3.473820928634e-01       6.579634140599e+02 
       3.506414135444e-01       6.440881424700e+02 
       3.539007347258e-01       6.305928980184e+02 
       3.571600563940e-01       6.175640641760e+02 
       3.604193785357e-01       6.051325943490e+02 
       3.636787011379e-01       5.933432215299e+02 
       3.669380241886e-01       5.822787164197e+02 
       3.701973476756e-01       5.718836203735e+02 
       3.734566715876e-01       5.621053361051e+02 
       3.767159959135e-01       5.528521137766e+02 
       3.799753206426e-01       5.440333135971e+02 
       3.832346457645e-01       5.355074309475e+02 
       3.864939712694e-01       5.272628101966e+02 
       3.897532971474e-01       5.191142884087e+02 
       3.930126233893e-01       5.110690032995e+02 
       3.962719499862e-01       5.030532632052e+02 
       3.995312769292e-01       4.950120890404e+02 
       4.027906042099e-01       4.869437278315e+02 
       4.060499318202e-01       4.788553752921e+02 
       4.093092597522e-01       4.707933518898e+02 
       4.125685879981e-01       4.627442226843e+02 
       4.158279165507e-01       4.548160882275e+02 
       4.190872454027e-01       4.470443285224e+02 
       4.223465745471e-01       4.394653000316e+02 
       4.256059039773e-01       4.320982736702e+02 
       4.288652336866e-01       4.249603731948e+02 
       4.321245636687e-01       4.180769152161e+02 
       4.353838939176e-01       4.114439418934e+02 
       4.386432244271e-01       4.050740915408e+02 
       4.419025551916e-01       3.989572997797e+02 
       4.451618862054e-01       3.930594601155e+02 
       4.484212174630e-01       3.873606016641e+02 
       4.516805489592e-01       3.818167668850e+02 
       4.549398806888e-01       3.763857287255e+02 
       4.581992126468e-01       3.710620030300e+02 
       4.614585448283e-01       3.658101462535e+02 
       4.647178772287e-01       3.606319696000e+02 
       4.679772098433e-01       3.554714924859e+02 
       4.712365426677e-01       3.503738762144e+02 
       4.744958756975e-01       3.453102720254e+02 
       4.777552089286e-01       3.402871219851e+02 
       4.810145423568e-01       3.352982581102e+02 
       4.842738759781e-01       3.303835054171e+02 
       4.875332097887e-01       3.255601195983e+02 
       4.907925437847e-01       3.208302519997e+02 
       4.940518779625e-01       3.162187868921e+02 
       4.973112123184e-01       3.117255133142e+02 
       5.005705468491e-01       3.073579246149e+02 
       5.038298815511e-01       3.031079253190e+02 
       5.070892164211e-01       2.989804799341e+02 
       5.103485514558e-01       2.949633783536e+02 
       5.136078866521e-01       2.910415019659e+02 
       5.168672220070e-01       2.872220341923e+02 
       5.201265575174e-01       2.834869723342e+02 
       5.233858931804e-01       2.798250263874e+02 
       5.266452289933e-01       2.762233819107e+02 
       5.299045649531e-01       2.726709480335e+02 
       5.331639010573e-01       2.691600423580e+02 
       5.364232373032e-01       2.656900923295e+02 
       5.396825736881e-01       2.622601835652e+02 
       5.429419102097e-01       2.588747386381e+02 
       5.462012468654e-01       2.555377420223e+02 
       5.494605836528e-01       2.522516746094e+02 
       5.527199205696e-01       2.490173523482e+02 
       5.559792576136e-01       2.458422419510e+02 
       5.592385947824e-01       2.427153295054e+02 
       5.624979320740e-01       2.396415847732e+02 
       5.657572694862e-01       2.366350296192e+02 
       5.690166070169e-01       2.336923550949e+02 
       5.960021596744e-01       2.114721470248e+02 
       6.263861083113e-01       1.897182303532e+02 
       6.613389961239e-01       1.683911523216e+02 
       7.027416068149e-01       1.472248061964e+02 
       7.538354223423e-01       1.259257745575e+02 
       8.206949106542e-01       1.040337333163e+02 
       9.157130417126e-01       8.112699959339e+01 
       1.064515886809e+00       5.738813914862e+01 
       1.303547949815e+00       3.575343122338e+01 
       1.637037069051e+00       2.080415687085e+01 
       2.060815948595e+00       1.192719549629e+01 
       2.594413147937e+00       6.780169262991e+00 
       3.266172640349e+00       3.825893172178e+00 
       4.111867736242e+00       2.144040833779e+00 
       5.176534783092e+00       1.194117110087e+00 
