# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.773336732311e-02       3.244059060198e+03 
       8.061033981113e-02       3.074104056315e+03 
       8.359718748717e-02       2.896493884559e+03 
       8.666119657905e-02       2.718097358919e+03 
       8.977683055359e-02       2.545743221973e+03 
       9.292583510738e-02       2.385325484929e+03 
       9.609591703738e-02       2.241017521989e+03 
       9.927911464464e-02       2.115259601088e+03 
       1.024703983046e-01       2.008715723866e+03 
       1.056666397275e-01       1.920558296668e+03 
       1.088659117561e-01       1.848698574074e+03 
       1.120670340580e-01       1.790152458708e+03 
       1.152692861908e-01       1.741518600409e+03 
       1.184722292609e-01       1.699131127020e+03 
       1.216755961381e-01       1.659475481301e+03 
       1.248792242629e-01       1.619514570676e+03 
       1.280830146646e-01       1.576823170293e+03 
       1.312869070178e-01       1.530062549323e+03 
       1.344908644801e-01       1.478516007792e+03 
       1.376948644807e-01       1.422566582222e+03 
       1.408988931271e-01       1.363268321649e+03 
       1.441029418088e-01       1.302190972392e+03 
       1.473070051348e-01       1.241150356008e+03 
       1.505110796807e-01       1.181969341070e+03 
       1.537151632279e-01       1.126235071439e+03 
       1.569192542997e-01       1.075255125524e+03 
       1.601233518803e-01       1.029837720246e+03 
       1.633274552421e-01       9.902856309533e+02 
       1.665315638407e-01       9.565298244165e+02 
       1.697356772507e-01       9.280608247886e+02 
       1.729397951254e-01       9.040912227409e+02 
       1.761439171721e-01       8.836116152799e+02 
       1.793480431369e-01       8.655759754314e+02 
       1.825521727945e-01       8.488595703530e+02 
       1.857563059415e-01       8.326197484727e+02 
       1.889604423926e-01       8.157870101335e+02 
       1.921645819772e-01       7.977997177549e+02 
       1.953687245376e-01       7.782204978900e+02 
       1.985728699271e-01       7.570169628419e+02 
       2.017770180090e-01       7.343995015523e+02 
       2.049811686555e-01       7.108116435822e+02 
       2.081853217471e-01       6.868108712302e+02 
       2.113894771714e-01       6.629881925891e+02 
       2.145936348232e-01       6.398838127145e+02 
       2.177977946033e-01       6.180140310642e+02 
       2.210019564184e-01       5.976608705247e+02 
       2.242061201806e-01       5.790979331316e+02 
       2.274102858071e-01       5.623880628465e+02 
       2.306144532196e-01       5.475333166646e+02 
       2.338186223441e-01       5.343986313914e+02 
       2.370227931108e-01       5.227709486681e+02 
       2.402269654535e-01       5.123274374690e+02 
       2.434311393096e-01       5.027512123359e+02 
       2.466353146197e-01       4.936794154126e+02 
       2.498394913275e-01       4.847708170073e+02 
       2.530436693796e-01       4.757638766594e+02 
       2.562478487252e-01       4.664745229087e+02 
       2.594520293162e-01       4.568077197277e+02 
       2.626562111066e-01       4.467313953271e+02 
       2.658603940528e-01       4.362856735938e+02 
       2.690645781134e-01       4.255699916959e+02 
       2.722687632487e-01       4.147135297972e+02 
       2.754729494210e-01       4.039054040100e+02 
       2.786771365944e-01       3.933008214248e+02 
       2.818813247345e-01       3.831000576293e+02 
       2.850855138085e-01       3.734290176419e+02 
       2.882897037851e-01       3.643786661149e+02 
       2.914938946344e-01       3.560009507786e+02 
       2.946980863278e-01       3.482827448106e+02 
       2.979022788379e-01       3.411761124955e+02 
       3.011064721384e-01       3.346151401598e+02 
       3.043106662044e-01       3.284854278117e+02 
       3.075148610117e-01       3.226902491336e+02 
       3.107190565372e-01       3.171542306551e+02 
       3.139232527590e-01       3.117471288926e+02 
       3.171274496557e-01       3.063989856970e+02 
       3.203316472070e-01       3.010317951122e+02 
       3.235358453934e-01       2.955988545967e+02 
       3.267400441960e-01       2.900827207012e+02 
       3.299442435970e-01       2.844897063451e+02 
       3.331484435788e-01       2.788506327974e+02 
       3.363526441249e-01       2.732090896671e+02 
       3.395568452191e-01       2.676239468041e+02 
       3.427610468461e-01       2.621341164986e+02 
       3.459652489909e-01       2.567876821627e+02 
       3.491694516393e-01       2.516287789867e+02 
       3.523736547774e-01       2.466901328830e+02 
       3.555778583919e-01       2.419697902098e+02 
       3.587820624701e-01       2.375086752983e+02 
       3.619862669996e-01       2.332761527037e+02 
       3.651904719683e-01       2.292649170846e+02 
       3.683946773649e-01       2.254461571764e+02 
       3.715988831782e-01       2.217765734274e+02 
       3.748030893974e-01       2.182399949532e+02 
       3.780072960123e-01       2.147786904430e+02 
       3.812115030127e-01       2.113756649871e+02 
       3.844157103890e-01       2.080112443124e+02 
       3.876199181319e-01       2.046614447821e+02 
       3.908241262323e-01       2.013426966238e+02 
       3.940283346814e-01       1.980331186961e+02 
       3.972325434707e-01       1.947416643755e+02 
       4.004367525921e-01       1.914684735047e+02 
       4.036409620376e-01       1.882401834557e+02 
       4.068451717996e-01       1.850574467733e+02 
       4.100493818705e-01       1.819390765658e+02 
       4.132535922432e-01       1.789000169474e+02 
       4.164578029107e-01       1.759509798444e+02 
       4.196620138662e-01       1.730884953799e+02 
       4.228662251031e-01       1.703258268841e+02 
       4.260704366151e-01       1.676545057108e+02 
       4.292746483960e-01       1.650703673029e+02 
       4.324788604397e-01       1.625684944361e+02 
       4.356830727404e-01       1.601488741383e+02 
       4.388872852926e-01       1.577942183446e+02 
       4.420914980907e-01       1.554995457219e+02 
       4.452957111294e-01       1.532590497626e+02 
       4.484999244035e-01       1.510587877268e+02 
       4.517041379080e-01       1.488896797227e+02 
       4.549083516380e-01       1.467485434719e+02 
       4.581125655887e-01       1.446315207099e+02 
       4.613167797556e-01       1.425382827528e+02 
       4.645209941341e-01       1.404714510162e+02 
       4.677252087199e-01       1.384322081492e+02 
       4.709294235087e-01       1.364229599705e+02 
